Cell id,Predicted_sensitive_DEG_score,Predicted_resistant_DEG_score,Ground_truth_sensitive_DEG_score,Ground_truth_resistant_DEG_score,Prediction
RHH3078,1.261459109,3.530634262,344.0895,684.88226,Sensitive
RHH3079,0.903998802,2.246846274,285.40527,745.4698,Resistant
RHH3080,0.909540529,2.511959942,319.4877,899.98303,Resistant
RHH3081,1.025169902,2.79691955,314.13376,958.43335,Resistant
RHH3082,0.785630579,1.923263423,352.6854,721.32056,Resistant
RHH3083,0.772211033,2.352613457,302.78506,839.2482,Resistant
RHH3084,1.27184196,3.037268536,457.6706,835.9606,Sensitive
RHH3085,0.817291255,2.737783684,256.48138,774.02295,Resistant
RHH3087,0.466493468,2.131085707,269.8982,577.6575,Resistant
RHH3088,0.749819796,2.26349604,316.16803,753.23303,Resistant
RHH3089,1.21609495,2.60490068,304.74777,732.4447,Resistant
RHH3090,0.700205401,2.346224939,199.70517,749.3596,Resistant
RHH3091,0.976400219,2.213280717,159.56229,643.72186,Resistant
RHH3092,1.236079832,2.277113677,341.03815,551.4394,Sensitive
RHH3093,1.150655525,2.680551108,386.37988,454.68848,Resistant
RHH3094,0.780951347,2.730607646,291.28555,746.49176,Resistant
RHH3095,1.097784228,2.291661658,368.97177,765.9022,Resistant
RHH3096,0.642927154,1.89333048,232.32169,611.38904,Resistant
RHH3097,0.65132648,1.824214704,242.11914,566.8723,Resistant
RHH3098,1.170849476,2.216273465,268.29785,685.7599,Resistant
RHH3099,0.847961319,2.104117707,318.37512,457.73468,Resistant
RHH3100,0.637575869,1.446376568,297.94452,398.5593,Resistant
RHH3101,0.824128626,1.560178983,325.12103,500.09894,Resistant
RHH3102,0.474948519,2.009069272,258.20813,457.471,Resistant
RHH3103,0.744134271,3.02139298,381.0465,1130.0135,Resistant
RHH3104,1.142741905,2.054578586,307.60727,565.5126,Resistant
RHH3105,1.122108397,1.761126977,320.66852,536.8516,Resistant
RHH3106,1.249643645,1.820686389,337.11383,434.27814,Sensitive
RHH3107,1.084467907,1.959307573,272.53455,463.0542,Resistant
RHH3108,0.809867043,2.035110408,386.68466,492.3611,Resistant
RHH3109,0.965148532,2.409716037,421.16824,637.0378,Resistant
RHH3110,0.639579822,2.407622454,482.2704,574.39056,Resistant
