Cell id,Predicted_sensitive_DEG_score,Predicted_resistant_DEG_score,Ground_truth_sensitive_DEG_score,Ground_truth_resistant_DEG_score,Prediction
RPI7_L4,0.945815927,0.574849845,1.3588889,2.390645,Sensitive
RPI7_L5,0.742495353,0.460687213,0.58131313,1.7283871,Sensitive
RPI7_L6,0.730718426,0.366745096,0.6360606,0.7977419,Sensitive
RPI7_L7,0.070004169,0.117982656,-0.032828283,0.019354843,Resistant
RPI7_L8,0.734071117,0.317884507,1.0485859,1.0993549,Sensitive
RPI7_L9,0.55849655,0.536591042,0.6073737,3.311613,Sensitive
RPI7_L10,0.826589461,0.336859507,1.4860607,2.0962903,Sensitive
RPI7_L11,0.732230425,0.487375227,0.66393936,3.374516,Sensitive
RPI7_L12,0.581634241,0.5201845,0.53747475,1.667258,Sensitive
RPI7_L13,0.688057911,0.489831162,1.360808,2.653387,Sensitive
RPI7_L14,0.568572912,0.415054254,1.1425253,3.7043548,Sensitive
RPI7_L17,0.830637103,0.270622956,1.4438384,1.1964514,Sensitive
RPI7_L18,0.903847178,0.423864742,1.4328284,1.6520969,Sensitive
RPI7_L19,0.861658116,0.30075828,1.2767676,1.5704842,Sensitive
RPI7_L20,0.505793574,0.452522172,0.31565657,0.14483872,Sensitive
RPI7_L22,1.17242813,0.409082164,1.6362627,1.9630644,Sensitive
RPI7_L23,0.62959477,0.580119444,0.20656562,1.568871,Sensitive
RPI7_L24,0.70430844,0.546206832,0.4077778,1.6099999,Sensitive
RPI7_M1,-0.194559852,1.187213333,-2.3185859,19.376936,Resistant
RPI7_M2,-0.096647951,1.007121236,-1.8647474,13.566612,Resistant
RPI7_M3,-0.278146129,1.149408407,-3.060909,16.877096,Resistant
RPI7_M4,-0.269580902,1.166104114,-2.4018183,14.92871,Resistant
RPI7_M5,-0.212366835,1.213343752,-1.6588888,8.595324,Resistant
RPI7_M6,-0.189173227,1.297567256,-2.2353535,17.613224,Resistant
RPI7_M7,-0.14993338,1.142028686,-2.3757575,12.646452,Resistant
RPI7_M8,-0.147131793,0.976334787,-1.2727273,6.8785486,Resistant
RPI7_M9,-0.149899529,1.035669071,-3.2051516,18.125322,Resistant
RPI7_M10,-0.143893496,1.095297149,-1.9636363,12.165323,Resistant
RPI7_M11,-0.02169928,0.954862825,-1.610303,11.6772585,Resistant
RPI7_M12,-0.081023332,1.17518567,-1.4264646,15.2437105,Resistant
RPI7_M13,-0.184963155,1.127835034,-2.1617172,16.363064,Resistant
RPI7_M15,0.464581037,0.236307101,0.001919191,0.03919355,Resistant
RPI7_M16,-0.085926822,1.191637354,-3.9277778,26.028547,Resistant
RPI7_M18,-0.263664348,1.221930979,-3.3845456,19.21484,Resistant
RPI7_M19,0.149389415,0.855308522,-1.3033335,11.256935,Resistant
RPI7_M20,-0.088617536,1.065625291,-1.8939395,14.044516,Resistant
RPI7_M21,-0.23117199,1.150169206,-1.8041414,12.32871,Resistant
RPI7_M22,0.05531495,0.864294283,-1.6941414,9.836935,Resistant
RPI7_M23,-0.216057994,1.09586613,-1.658384,11.887903,Resistant
RPI7_M24,-0.223340266,1.185948363,-1.4820201,10.154677,Resistant
RPI7_N1,0.028613206,1.005760885,-0.7417172,5.342742,Resistant
RPI7_N2,-0.233349123,1.245712265,-1.9827273,11.407742,Resistant
RPI7_N3,-0.087280339,0.942612239,-1.2511111,6.807097,Resistant
RPI7_N4,0.021637855,0.952756929,-0.8058586,7.553548,Resistant
RPI7_N5,-0.266091144,1.154845896,-1.2356566,10.198226,Resistant
RPI7_N6,-0.045371242,1.200105557,-0.74808085,7.4638705,Resistant
RPI7_N7,-0.158981621,1.031954904,-1.621212,9.709517,Resistant
RPI7_N8,-0.119955936,1.112959154,-1.5008081,10.42371,Resistant
RPI7_N9,-0.143556087,1.15865305,-1.8711112,11.9720955,Resistant
RPI7_N10,-0.229189349,1.095630707,-1.2504041,7.4369354,Resistant
RPI7_N11,-0.124543263,1.081378478,-0.76414144,8.319194,Resistant
RPI7_N13,-0.24282836,1.239314642,-1.1707071,8.157258,Resistant
RPI7_N14,-0.226931591,1.208395742,-2.58899,17.88613,Resistant
